"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "64", "se/hig/oodp/lab/model/Vertex2D.java:24", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:1#se.hig.oodp.lab.model.Vertex2D:1, y=2.0"
"main", "65", "se/hig/oodp/lab/model/Vertex2D.java:24", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:1#se.hig.oodp.lab.model.Vertex2D:1, x=-2.0"
"main", "66", "se/hig/oodp/lab/model/Vertex2D.java:24", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=24"
"main", "67", "se/hig/oodp/lab/model/Vertex2D.java:26", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=26"
"main", "68", "se/hig/oodp/lab/model/Vertex2D.java:26", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D:1, x=-2.0"
"main", "69", "se/hig/oodp/lab/model/Vertex2D.java:27", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=27"
"main", "70", "se/hig/oodp/lab/model/Vertex2D.java:27", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D:1, y=2.0"
"main", "71", "se/hig/oodp/lab/model/Vertex2D.java:28", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=28"
"main", "72", "se/hig/oodp/lab/model/Vertex2D.java:28", "Method Exit", " returner=se.hig.oodp.lab.model.Vertex2D:1#se.hig.oodp.lab.model.Vertex2D:1, value=<void>"
"main", "73", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:91", "Method Returned", " "
"main", "74", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:91", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=91"
"main", "75", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:91", "New Object", " object=se.hig.oodp.lab.model.simplefigure.Point:1"
"main", "76", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:91", "Method Call", " caller=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createPoint:1, target=se.hig.oodp.lab.model.simplefigure.Point:1#se.hig.oodp.lab.model.simplefigure.Point:1"
"main", "77", "se/hig/oodp/lab/model/simplefigure/Point.java:25", "Method Entered", " "
"main", "78", "se/hig/oodp/lab/model/simplefigure/Point.java:25", "Variable Write", " context=se.hig.oodp.lab.model.simplefigure.Point:1#se.hig.oodp.lab.model.simplefigure.Point:1, position=se.hig.oodp.lab.model.Vertex2D:1"
"main", "79", "se/hig/oodp/lab/model/simplefigure/Point.java:27", "Line Step", " file=se/hig/oodp/lab/model/simplefigure/Point.java, line=27"
"main", "80", "se/hig/oodp/lab/model/simplefigure/Point.java:27", "Method Call", " caller=se.hig.oodp.lab.model.simplefigure.Point:1#se.hig.oodp.lab.model.simplefigure.Point:1, target=se.hig.oodp.lab.model.simplefigure.SimpleFigure:1#se.hig.oodp.lab.model.simplefigure.SimpleFigure:1"
"main", "81", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:23", "Method Entered", " "
"main", "82", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:23", "Variable Write", " context=se.hig.oodp.lab.model.simplefigure.SimpleFigure:1#se.hig.oodp.lab.model.simplefigure.SimpleFigure:1, position=se.hig.oodp.lab.model.Vertex2D:1"
"main", "83", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:23", "Line Step", " file=se/hig/oodp/lab/model/simplefigure/SimpleFigure.java, line=23"
"main", "84", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:25", "Line Step", " file=se/hig/oodp/lab/model/simplefigure/SimpleFigure.java, line=25"
"main", "85", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:25", "Field Write", " context=se.hig.oodp.lab.model.simplefigure.SimpleFigure:1, position=se.hig.oodp.lab.model.Vertex2D:1"
"main", "86", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:26", "Line Step", " file=se/hig/oodp/lab/model/simplefigure/SimpleFigure.java, line=26"
"main", "87", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:26", "Method Exit", " returner=se.hig.oodp.lab.model.simplefigure.SimpleFigure:1#se.hig.oodp.lab.model.simplefigure.SimpleFigure:1, value=<void>"
"main", "88", "se/hig/oodp/lab/model/simplefigure/Point.java:27", "Method Returned", " "
"main", "89", "se/hig/oodp/lab/model/simplefigure/Point.java:28", "Line Step", " file=se/hig/oodp/lab/model/simplefigure/Point.java, line=28"
"main", "90", "se/hig/oodp/lab/model/simplefigure/Point.java:28", "Method Exit", " returner=se.hig.oodp.lab.model.simplefigure.Point:1#se.hig.oodp.lab.model.simplefigure.Point:1, value=<void>"
"main", "91", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:91", "Method Returned", " "
"main", "92", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:91", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=91"
"main", "93", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:91", "Variable Write", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createPoint:1, p=se.hig.oodp.lab.model.simplefigure.Point:1"
"main", "94", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:93", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=93"
"main", "95", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:93", "Field Read", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1, allFigures"
"main", "96", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:94", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=94"
"main", "97", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:94", "Field Read", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1, movableFigures"
"main", "98", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:96", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=96"
"main", "99", "SYSTEM", "Type Load", " class=se.hig.oodp.lab.utility.DebugLogger"
"main", "100", "SYSTEM", "Method Call", " caller=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createPoint:1, target=se.hig.oodp.lab.utility.DebugLogger#<clinit>:1"
"main", "101", "se/hig/oodp/lab/utility/DebugLogger.java:19", "Method Entered", " "
"main", "102", "se/hig/oodp/lab/utility/DebugLogger.java:21", "Field Write", " context=se.hig.oodp.lab.utility.DebugLogger, log=java.util.logging.Logger (id=60)"
"main", "103", "se/hig/oodp/lab/utility/DebugLogger.java:22", "Field Write", " context=se.hig.oodp.lab.utility.DebugLogger, logHandler=java.util.logging.ConsoleHandler (id=62)"
"main", "104", "se/hig/oodp/lab/utility/DebugLogger.java:22", "Method Exit", " returner=se.hig.oodp.lab.utility.DebugLogger#<clinit>:1, value=<void>"
"main", "105", "SYSTEM", "Method Returned", " "
"main", "106", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:96", "Field Read", " context=se.hig.oodp.lab.utility.DebugLogger, log"
"main", "107", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:97", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=97"
"main", "108", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:97", "Method Exit", " returner=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createPoint:1, value=<void>"
"main", "109", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:27", "Method Returned", " "
"main", "110", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:28", "Line Step", " file=se/hig/oodp/lab/control/test/FigureHandlerTest.java, line=28"
"main", "111", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:28", "Field Read", " context=se.hig.oodp.lab.control.test.FigureHandlerTest, XCOORDS"
"main", "112", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:28", "Field Read", " context=se.hig.oodp.lab.control.test.FigureHandlerTest, YCOORDS"
"main", "113", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:28", "Field Read", " context=se.hig.oodp.lab.control.test.FigureHandlerTest, XCOORDS"
"main", "114", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:29", "Line Step", " file=se/hig/oodp/lab/control/test/FigureHandlerTest.java, line=29"
"main", "115", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:29", "Field Read", " context=se.hig.oodp.lab.control.test.FigureHandlerTest, YCOORDS"
"main", "116", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:28", "Line Step", " file=se/hig/oodp/lab/control/test/FigureHandlerTest.java, line=28"
"main", "117", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:28", "Method Call", " caller=se.hig.oodp.lab.control.test.FigureHandlerTest#main:1, target=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createLine:1"
"main", "118", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:76", "Method Entered", " "
"main", "119", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:76", "Variable Write", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createLine:1, y0=2.0"
"main", "120", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:76", "Variable Write", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createLine:1, x0=-2.0"
"main", "121", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:76", "Variable Write", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createLine:1, y1=1.0"
"main", "122", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:76", "Variable Write", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createLine:1, x1=-1.0"
"main", "123", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=78"
"main", "124", "SYSTEM", "Type Load", " class=se.hig.oodp.lab.model.figure.Figure"
"main", "125", "SYSTEM", "Type Load", " class=se.hig.oodp.lab.model.figure.Line"
"main", "126", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "New Object", " object=se.hig.oodp.lab.model.Vertex2D:2"
"main", "127", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "Method Call", " caller=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createLine:1, target=se.hig.oodp.lab.model.Vertex2D:2#se.hig.oodp.lab.model.Vertex2D:2"
"main", "128", "se/hig/oodp/lab/model/Vertex2D.java:24", "Method Entered", " "
"main", "129", "se/hig/oodp/lab/model/Vertex2D.java:24", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:2#se.hig.oodp.lab.model.Vertex2D:2, y=2.0"
"main", "130", "se/hig/oodp/lab/model/Vertex2D.java:24", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:2#se.hig.oodp.lab.model.Vertex2D:2, x=-2.0"
"main", "131", "se/hig/oodp/lab/model/Vertex2D.java:24", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=24"
"main", "132", "se/hig/oodp/lab/model/Vertex2D.java:26", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=26"
"main", "133", "se/hig/oodp/lab/model/Vertex2D.java:26", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D:2, x=-2.0"
"main", "134", "se/hig/oodp/lab/model/Vertex2D.java:27", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=27"
"main", "135", "se/hig/oodp/lab/model/Vertex2D.java:27", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D:2, y=2.0"
"main", "136", "se/hig/oodp/lab/model/Vertex2D.java:28", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=28"
"main", "137", "se/hig/oodp/lab/model/Vertex2D.java:28", "Method Exit", " returner=se.hig.oodp.lab.model.Vertex2D:2#se.hig.oodp.lab.model.Vertex2D:2, value=<void>"
"main", "138", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "Method Returned", " "
"main", "139", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=78"
"main", "140", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "New Object", " object=se.hig.oodp.lab.model.Vertex2D:3"
"main", "141", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "Method Call", " caller=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createLine:1, target=se.hig.oodp.lab.model.Vertex2D:3#se.hig.oodp.lab.model.Vertex2D:3"
"main", "142", "se/hig/oodp/lab/model/Vertex2D.java:24", "Method Entered", " "
"main", "143", "se/hig/oodp/lab/model/Vertex2D.java:24", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:3#se.hig.oodp.lab.model.Vertex2D:3, y=1.0"
"main", "144", "se/hig/oodp/lab/model/Vertex2D.java:24", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:3#se.hig.oodp.lab.model.Vertex2D:3, x=-1.0"
"main", "145", "se/hig/oodp/lab/model/Vertex2D.java:24", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=24"
"main", "146", "se/hig/oodp/lab/model/Vertex2D.java:26", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=26"
"main", "147", "se/hig/oodp/lab/model/Vertex2D.java:26", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D:3, x=-1.0"
"main", "148", "se/hig/oodp/lab/model/Vertex2D.java:27", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=27"
"main", "149", "se/hig/oodp/lab/model/Vertex2D.java:27", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D:3, y=1.0"
"main", "150", "se/hig/oodp/lab/model/Vertex2D.java:28", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=28"
"main", "151", "se/hig/oodp/lab/model/Vertex2D.java:28", "Method Exit", " returner=se.hig.oodp.lab.model.Vertex2D:3#se.hig.oodp.lab.model.Vertex2D:3, value=<void>"
"main", "152", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "Method Returned", " "
"main", "153", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=78"
"main", "154", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "New Object", " object=se.hig.oodp.lab.model.figure.Line:1"
"main", "155", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "Method Call", " caller=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createLine:1, target=se.hig.oodp.lab.model.figure.Line:1#se.hig.oodp.lab.model.figure.Line:1"
"main", "156", "se/hig/oodp/lab/model/figure/Line.java:28", "Method Entered", " "
"main", "157", "se/hig/oodp/lab/model/figure/Line.java:28", "Variable Write", " context=se.hig.oodp.lab.model.figure.Line:1#se.hig.oodp.lab.model.figure.Line:1, v0=se.hig.oodp.lab.model.Vertex2D:2"
"main", "158", "se/hig/oodp/lab/model/figure/Line.java:28", "Variable Write", " context=se.hig.oodp.lab.model.figure.Line:1#se.hig.oodp.lab.model.figure.Line:1, v1=se.hig.oodp.lab.model.Vertex2D:3"
"main", "159", "se/hig/oodp/lab/model/figure/Line.java:30", "Line Step", " file=se/hig/oodp/lab/model/figure/Line.java, line=30"
"main", "160", "se/hig/oodp/lab/model/figure/Line.java:30", "Method Call", " caller=se.hig.oodp.lab.model.figure.Line:1#se.hig.oodp.lab.model.figure.Line:1, target=se.hig.oodp.lab.model.figure.Figure:1#se.hig.oodp.lab.model.figure.Figure:1"
"main", "161", "se/hig/oodp/lab/model/figure/Figure.java:46", "Method Entered", " "
"main", "162", "se/hig/oodp/lab/model/figure/Figure.java:48", "Line Step", " file=se/hig/oodp/lab/model/figure/Figure.java, line=48"
"main", "163", "se/hig/oodp/lab/model/figure/Figure.java:48", "New Object", " object=se.hig.oodp.lab.model.Vertex2D:4"
"main", "164", "se/hig/oodp/lab/model/figure/Figure.java:48", "Method Call", " caller=se.hig.oodp.lab.model.figure.Figure:1#se.hig.oodp.lab.model.figure.Figure:1, target=se.hig.oodp.lab.model.Vertex2D:4#se.hig.oodp.lab.model.Vertex2D:4"
"main", "165", "se/hig/oodp/lab/model/Vertex2D.java:24", "Method Entered", " "
"main", "166", "se/hig/oodp/lab/model/Vertex2D.java:24", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:4#se.hig.oodp.lab.model.Vertex2D:4, y=0.0"
"main", "167", "se/hig/oodp/lab/model/Vertex2D.java:24", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:4#se.hig.oodp.lab.model.Vertex2D:4, x=0.0"
"main", "168", "se/hig/oodp/lab/model/Vertex2D.java:24", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=24"
"main", "169", "se/hig/oodp/lab/model/Vertex2D.java:26", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=26"
"main", "170", "se/hig/oodp/lab/model/Vertex2D.java:26", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D:4, x=0.0"
"main", "171", "se/hig/oodp/lab/model/Vertex2D.java:27", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=27"
"main", "172", "se/hig/oodp/lab/model/Vertex2D.java:27", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D:4, y=0.0"
"main", "173", "se/hig/oodp/lab/model/Vertex2D.java:28", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=28"
"main", "174", "se/hig/oodp/lab/model/Vertex2D.java:28", "Method Exit", " returner=se.hig.oodp.lab.model.Vertex2D:4#se.hig.oodp.lab.model.Vertex2D:4, value=<void>"
"main", "175", "se/hig/oodp/lab/model/figure/Figure.java:48", "Method Returned", " "
"main", "176", "se/hig/oodp/lab/model/figure/Figure.java:48", "Line Step", " file=se/hig/oodp/lab/model/figure/Figure.java, line=48"
"main", "177", "se/hig/oodp/lab/model/figure/Figure.java:48", "Method Call", " caller=se.hig.oodp.lab.model.figure.Figure:1#se.hig.oodp.lab.model.figure.Figure:1, target=se.hig.oodp.lab.model.figure.Figure:1#se.hig.oodp.lab.model.figure.Figure:1"
"main", "178", "se/hig/oodp/lab/model/figure/Figure.java:36", "Method Entered", " "
"main", "179", "se/hig/oodp/lab/model/figure/Figure.java:36", "Variable Write", " context=se.hig.oodp.lab.model.figure.Figure:1#se.hig.oodp.lab.model.figure.Figure:1, position=se.hig.oodp.lab.model.Vertex2D:4"
