"main", "46", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:48", "Method Exit", " returner=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1, value=<void>"
"main", "47", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:26", "Method Returned", " "
"main", "48", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:26", "Line Step", " file=se/hig/oodp/lab/control/test/FigureHandlerTest.java, line=26"
"main", "49", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:26", "Variable Write", " context=se.hig.oodp.lab.control.test.FigureHandlerTest#main:1, figureHandlerImpl=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1"
"main", "50", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:28", "Line Step", " file=se/hig/oodp/lab/control/test/FigureHandlerTest.java, line=28"
"main", "51", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:28", "Field Read", " context=se.hig.oodp.lab.control.test.FigureHandlerTest, XCOORDS"
"main", "52", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:28", "Field Read", " context=se.hig.oodp.lab.control.test.FigureHandlerTest, YCOORDS"
"main", "53", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:28", "Field Read", " context=se.hig.oodp.lab.control.test.FigureHandlerTest, XCOORDS"
"main", "54", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:29", "Line Step", " file=se/hig/oodp/lab/control/test/FigureHandlerTest.java, line=29"
"main", "55", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:29", "Field Read", " context=se.hig.oodp.lab.control.test.FigureHandlerTest, YCOORDS"
"main", "56", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:28", "Line Step", " file=se/hig/oodp/lab/control/test/FigureHandlerTest.java, line=28"
"main", "57", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:28", "Method Call", " caller=se.hig.oodp.lab.control.test.FigureHandlerTest#main:1, target=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createLine:1"
"main", "58", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:76", "Method Entered", " "
"main", "59", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:76", "Variable Write", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createLine:1, y1=1.0"
"main", "60", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:76", "Variable Write", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createLine:1, x1=-1.0"
"main", "61", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:76", "Variable Write", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createLine:1, y0=2.0"
"main", "62", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:76", "Variable Write", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createLine:1, x0=-2.0"
"main", "63", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=78"
"main", "64", "SYSTEM", "Type Load", " class=se.hig.oodp.lab.model.simplefigure.SimpleFigure"
"main", "65", "SYSTEM", "Type Load", " class=se.hig.oodp.lab.model.figure.Figure"
"main", "66", "SYSTEM", "Type Load", " class=se.hig.oodp.lab.model.figure.Line"
"main", "67", "SYSTEM", "Type Load", " class=se.hig.oodp.lab.model.Vertex2D"
"main", "68", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "New Object", " object=se.hig.oodp.lab.model.Vertex2D:1"
"main", "69", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "Method Call", " caller=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createLine:1, target=se.hig.oodp.lab.model.Vertex2D:1#se.hig.oodp.lab.model.Vertex2D:1"
"main", "70", "se/hig/oodp/lab/model/Vertex2D.java:24", "Method Entered", " "
"main", "71", "se/hig/oodp/lab/model/Vertex2D.java:24", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:1#se.hig.oodp.lab.model.Vertex2D:1, y=2.0"
"main", "72", "se/hig/oodp/lab/model/Vertex2D.java:24", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:1#se.hig.oodp.lab.model.Vertex2D:1, x=-2.0"
"main", "73", "se/hig/oodp/lab/model/Vertex2D.java:24", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=24"
"main", "74", "se/hig/oodp/lab/model/Vertex2D.java:26", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=26"
"main", "75", "se/hig/oodp/lab/model/Vertex2D.java:26", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D:1, x=-2.0"
"main", "76", "se/hig/oodp/lab/model/Vertex2D.java:27", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=27"
"main", "77", "se/hig/oodp/lab/model/Vertex2D.java:27", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D:1, y=2.0"
"main", "78", "se/hig/oodp/lab/model/Vertex2D.java:28", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=28"
"main", "79", "se/hig/oodp/lab/model/Vertex2D.java:28", "Method Exit", " returner=se.hig.oodp.lab.model.Vertex2D:1#se.hig.oodp.lab.model.Vertex2D:1, value=<void>"
"main", "80", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "Method Returned", " "
"main", "81", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=78"
"main", "82", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "New Object", " object=se.hig.oodp.lab.model.Vertex2D:2"
"main", "83", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "Method Call", " caller=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createLine:1, target=se.hig.oodp.lab.model.Vertex2D:2#se.hig.oodp.lab.model.Vertex2D:2"
"main", "84", "se/hig/oodp/lab/model/Vertex2D.java:24", "Method Entered", " "
"main", "85", "se/hig/oodp/lab/model/Vertex2D.java:24", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:2#se.hig.oodp.lab.model.Vertex2D:2, y=1.0"
"main", "86", "se/hig/oodp/lab/model/Vertex2D.java:24", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:2#se.hig.oodp.lab.model.Vertex2D:2, x=-1.0"
"main", "87", "se/hig/oodp/lab/model/Vertex2D.java:24", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=24"
"main", "88", "se/hig/oodp/lab/model/Vertex2D.java:26", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=26"
"main", "89", "se/hig/oodp/lab/model/Vertex2D.java:26", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D:2, x=-1.0"
"main", "90", "se/hig/oodp/lab/model/Vertex2D.java:27", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=27"
"main", "91", "se/hig/oodp/lab/model/Vertex2D.java:27", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D:2, y=1.0"
"main", "92", "se/hig/oodp/lab/model/Vertex2D.java:28", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=28"
"main", "93", "se/hig/oodp/lab/model/Vertex2D.java:28", "Method Exit", " returner=se.hig.oodp.lab.model.Vertex2D:2#se.hig.oodp.lab.model.Vertex2D:2, value=<void>"
"main", "94", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "Method Returned", " "
"main", "95", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=78"
"main", "96", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "New Object", " object=se.hig.oodp.lab.model.figure.Line:1"
"main", "97", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:78", "Method Call", " caller=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#createLine:1, target=se.hig.oodp.lab.model.figure.Line:1#se.hig.oodp.lab.model.figure.Line:1"
"main", "98", "se/hig/oodp/lab/model/figure/Line.java:28", "Method Entered", " "
"main", "99", "se/hig/oodp/lab/model/figure/Line.java:28", "Variable Write", " context=se.hig.oodp.lab.model.figure.Line:1#se.hig.oodp.lab.model.figure.Line:1, v0=se.hig.oodp.lab.model.Vertex2D:1"
"main", "100", "se/hig/oodp/lab/model/figure/Line.java:28", "Variable Write", " context=se.hig.oodp.lab.model.figure.Line:1#se.hig.oodp.lab.model.figure.Line:1, v1=se.hig.oodp.lab.model.Vertex2D:2"
"main", "101", "se/hig/oodp/lab/model/figure/Line.java:30", "Line Step", " file=se/hig/oodp/lab/model/figure/Line.java, line=30"
"main", "102", "se/hig/oodp/lab/model/figure/Line.java:30", "Method Call", " caller=se.hig.oodp.lab.model.figure.Line:1#se.hig.oodp.lab.model.figure.Line:1, target=se.hig.oodp.lab.model.figure.Figure:1#se.hig.oodp.lab.model.figure.Figure:1"
"main", "103", "se/hig/oodp/lab/model/figure/Figure.java:46", "Method Entered", " "
"main", "104", "se/hig/oodp/lab/model/figure/Figure.java:48", "Line Step", " file=se/hig/oodp/lab/model/figure/Figure.java, line=48"
"main", "105", "se/hig/oodp/lab/model/figure/Figure.java:48", "New Object", " object=se.hig.oodp.lab.model.Vertex2D:3"
"main", "106", "se/hig/oodp/lab/model/figure/Figure.java:48", "Method Call", " caller=se.hig.oodp.lab.model.figure.Figure:1#se.hig.oodp.lab.model.figure.Figure:1, target=se.hig.oodp.lab.model.Vertex2D:3#se.hig.oodp.lab.model.Vertex2D:3"
"main", "107", "se/hig/oodp/lab/model/Vertex2D.java:24", "Method Entered", " "
"main", "108", "se/hig/oodp/lab/model/Vertex2D.java:24", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:3#se.hig.oodp.lab.model.Vertex2D:3, y=0.0"
"main", "109", "se/hig/oodp/lab/model/Vertex2D.java:24", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:3#se.hig.oodp.lab.model.Vertex2D:3, x=0.0"
"main", "110", "se/hig/oodp/lab/model/Vertex2D.java:24", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=24"
"main", "111", "se/hig/oodp/lab/model/Vertex2D.java:26", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=26"
"main", "112", "se/hig/oodp/lab/model/Vertex2D.java:26", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D:3, x=0.0"
"main", "113", "se/hig/oodp/lab/model/Vertex2D.java:27", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=27"
"main", "114", "se/hig/oodp/lab/model/Vertex2D.java:27", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D:3, y=0.0"
"main", "115", "se/hig/oodp/lab/model/Vertex2D.java:28", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=28"
"main", "116", "se/hig/oodp/lab/model/Vertex2D.java:28", "Method Exit", " returner=se.hig.oodp.lab.model.Vertex2D:3#se.hig.oodp.lab.model.Vertex2D:3, value=<void>"
"main", "117", "se/hig/oodp/lab/model/figure/Figure.java:48", "Method Returned", " "
"main", "118", "se/hig/oodp/lab/model/figure/Figure.java:48", "Line Step", " file=se/hig/oodp/lab/model/figure/Figure.java, line=48"
"main", "119", "se/hig/oodp/lab/model/figure/Figure.java:48", "Method Call", " caller=se.hig.oodp.lab.model.figure.Figure:1#se.hig.oodp.lab.model.figure.Figure:1, target=se.hig.oodp.lab.model.figure.Figure:1#se.hig.oodp.lab.model.figure.Figure:1"
"main", "120", "se/hig/oodp/lab/model/figure/Figure.java:36", "Method Entered", " "
"main", "121", "se/hig/oodp/lab/model/figure/Figure.java:36", "Variable Write", " context=se.hig.oodp.lab.model.figure.Figure:1#se.hig.oodp.lab.model.figure.Figure:1, position=se.hig.oodp.lab.model.Vertex2D:3"
"main", "122", "se/hig/oodp/lab/model/figure/Figure.java:38", "Line Step", " file=se/hig/oodp/lab/model/figure/Figure.java, line=38"
"main", "123", "se/hig/oodp/lab/model/figure/Figure.java:38", "Method Call", " caller=se.hig.oodp.lab.model.figure.Figure:1#se.hig.oodp.lab.model.figure.Figure:1, target=se.hig.oodp.lab.model.simplefigure.SimpleFigure:1#se.hig.oodp.lab.model.simplefigure.SimpleFigure:1"
"main", "124", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:23", "Method Entered", " "
"main", "125", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:23", "Variable Write", " context=se.hig.oodp.lab.model.simplefigure.SimpleFigure:1#se.hig.oodp.lab.model.simplefigure.SimpleFigure:1, position=se.hig.oodp.lab.model.Vertex2D:3"
"main", "126", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:23", "Line Step", " file=se/hig/oodp/lab/model/simplefigure/SimpleFigure.java, line=23"
"main", "127", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:25", "Line Step", " file=se/hig/oodp/lab/model/simplefigure/SimpleFigure.java, line=25"
"main", "128", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:25", "Field Write", " context=se.hig.oodp.lab.model.simplefigure.SimpleFigure:1, position=se.hig.oodp.lab.model.Vertex2D:3"
"main", "129", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:26", "Line Step", " file=se/hig/oodp/lab/model/simplefigure/SimpleFigure.java, line=26"
"main", "130", "se/hig/oodp/lab/model/simplefigure/SimpleFigure.java:26", "Method Exit", " returner=se.hig.oodp.lab.model.simplefigure.SimpleFigure:1#se.hig.oodp.lab.model.simplefigure.SimpleFigure:1, value=<void>"
"main", "131", "se/hig/oodp/lab/model/figure/Figure.java:38", "Method Returned", " "
"main", "132", "se/hig/oodp/lab/model/figure/Figure.java:40", "Line Step", " file=se/hig/oodp/lab/model/figure/Figure.java, line=40"
"main", "133", "se/hig/oodp/lab/model/figure/Figure.java:40", "Field Write", " context=se.hig.oodp.lab.model.figure.Figure:1, vertices=java.util.ArrayList (id=65)"
"main", "134", "se/hig/oodp/lab/model/figure/Figure.java:41", "Line Step", " file=se/hig/oodp/lab/model/figure/Figure.java, line=41"
"main", "135", "se/hig/oodp/lab/model/figure/Figure.java:41", "Method Exit", " returner=se.hig.oodp.lab.model.figure.Figure:1#se.hig.oodp.lab.model.figure.Figure:1, value=<void>"
"main", "136", "se/hig/oodp/lab/model/figure/Figure.java:48", "Method Returned", " "
"main", "137", "se/hig/oodp/lab/model/figure/Figure.java:49", "Line Step", " file=se/hig/oodp/lab/model/figure/Figure.java, line=49"
"main", "138", "se/hig/oodp/lab/model/figure/Figure.java:49", "Method Exit", " returner=se.hig.oodp.lab.model.figure.Figure:1#se.hig.oodp.lab.model.figure.Figure:1, value=<void>"
"main", "139", "se/hig/oodp/lab/model/figure/Line.java:30", "Method Returned", " "
"main", "140", "se/hig/oodp/lab/model/figure/Line.java:31", "Line Step", " file=se/hig/oodp/lab/model/figure/Line.java, line=31"
"main", "141", "se/hig/oodp/lab/model/figure/Line.java:31", "Field Write", " context=se.hig.oodp.lab.model.figure.Line:1, v0=se.hig.oodp.lab.model.Vertex2D:1"
"main", "142", "se/hig/oodp/lab/model/figure/Line.java:32", "Line Step", " file=se/hig/oodp/lab/model/figure/Line.java, line=32"
"main", "143", "se/hig/oodp/lab/model/figure/Line.java:32", "Field Write", " context=se.hig.oodp.lab.model.figure.Line:1, v1=se.hig.oodp.lab.model.Vertex2D:2"
"main", "144", "se/hig/oodp/lab/model/figure/Line.java:34", "Line Step", " file=se/hig/oodp/lab/model/figure/Line.java, line=34"
"main", "145", "se/hig/oodp/lab/model/figure/Line.java:34", "Method Call", " caller=se.hig.oodp.lab.model.figure.Line:1#se.hig.oodp.lab.model.figure.Line:1, target=se.hig.oodp.lab.model.figure.Figure:1#addVerticesToList:1"
"main", "146", "se/hig/oodp/lab/model/figure/Figure.java:118", "Method Entered", " "
"main", "147", "se/hig/oodp/lab/model/figure/Figure.java:118", "New Object", " object=se.hig.oodp.lab.model.Vertex2D[]:1"
"main", "148", "se/hig/oodp/lab/model/figure/Figure.java:118", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D[]:1, 0=se.hig.oodp.lab.model.Vertex2D:1"
"main", "149", "se/hig/oodp/lab/model/figure/Figure.java:118", "Field Write", " context=se.hig.oodp.lab.model.Vertex2D[]:1, 1=se.hig.oodp.lab.model.Vertex2D:2"
"main", "150", "se/hig/oodp/lab/model/figure/Figure.java:118", "Variable Write", " context=se.hig.oodp.lab.model.figure.Figure:1#addVerticesToList:1, newVertices=se.hig.oodp.lab.model.Vertex2D[]:1"
"main", "151", "se/hig/oodp/lab/model/figure/Figure.java:120", "Line Step", " file=se/hig/oodp/lab/model/figure/Figure.java, line=120"
"main", "152", "se/hig/oodp/lab/model/figure/Figure.java:120", "Variable Write", " context=se.hig.oodp.lab.model.figure.Figure:1#addVerticesToList:1, i=0"
"main", "153", "se/hig/oodp/lab/model/figure/Figure.java:121", "Line Step", " file=se/hig/oodp/lab/model/figure/Figure.java, line=121"
"main", "154", "se/hig/oodp/lab/model/figure/Figure.java:124", "Line Step", " file=se/hig/oodp/lab/model/figure/Figure.java, line=124"
"main", "155", "se/hig/oodp/lab/model/figure/Figure.java:124", "Field Read", " context=se.hig.oodp.lab.model.figure.Figure:1, vertices"
"main", "156", "se/hig/oodp/lab/model/figure/Figure.java:125", "Line Step", " file=se/hig/oodp/lab/model/figure/Figure.java, line=125"
"main", "157", "SYSTEM", "Type Load", " class=se.hig.oodp.lab.utility.DebugLogger"
"main", "158", "SYSTEM", "Method Call", " caller=se.hig.oodp.lab.model.figure.Figure:1#addVerticesToList:1, target=se.hig.oodp.lab.utility.DebugLogger#<clinit>:1"
"main", "159", "se/hig/oodp/lab/utility/DebugLogger.java:19", "Method Entered", " "
"main", "160", "se/hig/oodp/lab/utility/DebugLogger.java:21", "Field Write", " context=se.hig.oodp.lab.utility.DebugLogger, log=java.util.logging.Logger (id=72)"
"main", "161", "se/hig/oodp/lab/utility/DebugLogger.java:22", "Field Write", " context=se.hig.oodp.lab.utility.DebugLogger, logHandler=java.util.logging.ConsoleHandler (id=74)"
"main", "162", "se/hig/oodp/lab/utility/DebugLogger.java:22", "Method Exit", " returner=se.hig.oodp.lab.utility.DebugLogger#<clinit>:1, value=<void>"
"main", "163", "SYSTEM", "Method Returned", " "
"main", "164", "se/hig/oodp/lab/model/figure/Figure.java:125", "Field Read", " context=se.hig.oodp.lab.utility.DebugLogger, log"
"main", "165", "se/hig/oodp/lab/model/figure/Figure.java:125", "Method Call", " caller=se.hig.oodp.lab.model.figure.Figure:1#addVerticesToList:1, target=se.hig.oodp.lab.model.Vertex2D:1#toString:1"
"main", "166", "se/hig/oodp/lab/model/Vertex2D.java:149", "Method Entered", " "
"main", "167", "se/hig/oodp/lab/model/Vertex2D.java:151", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=151"
"main", "168", "se/hig/oodp/lab/model/Vertex2D.java:151", "Field Read", " context=se.hig.oodp.lab.model.Vertex2D:1, x"
"main", "169", "se/hig/oodp/lab/model/Vertex2D.java:151", "Field Read", " context=se.hig.oodp.lab.model.Vertex2D:1, y"
"main", "170", "se/hig/oodp/lab/model/Vertex2D.java:151", "Variable Write", " context=se.hig.oodp.lab.model.Vertex2D:1#toString:1, result=""(-2.0, 2.0)"""
"main", "171", "se/hig/oodp/lab/model/Vertex2D.java:151", "Method Exit", " returner=se.hig.oodp.lab.model.Vertex2D:1#toString:1, value=""(-2.0, 2.0)"""
"main", "172", "se/hig/oodp/lab/model/figure/Figure.java:125", "Method Returned", " "
"main", "173", "se/hig/oodp/lab/model/figure/Figure.java:125", "Line Step", " file=se/hig/oodp/lab/model/figure/Figure.java, line=125"
"main", "174", "se/hig/oodp/lab/model/figure/Figure.java:120", "Line Step", " file=se/hig/oodp/lab/model/figure/Figure.java, line=120"
"main", "175", "se/hig/oodp/lab/model/figure/Figure.java:120", "Variable Write", " context=se.hig.oodp.lab.model.figure.Figure:1#addVerticesToList:1, i=1"
"main", "176", "se/hig/oodp/lab/model/figure/Figure.java:121", "Line Step", " file=se/hig/oodp/lab/model/figure/Figure.java, line=121"
"main", "177", "se/hig/oodp/lab/model/figure/Figure.java:124", "Line Step", " file=se/hig/oodp/lab/model/figure/Figure.java, line=124"
"main", "178", "se/hig/oodp/lab/model/figure/Figure.java:124", "Field Read", " context=se.hig.oodp.lab.model.figure.Figure:1, vertices"
"main", "179", "se/hig/oodp/lab/model/figure/Figure.java:125", "Line Step", " file=se/hig/oodp/lab/model/figure/Figure.java, line=125"
"main", "180", "se/hig/oodp/lab/model/figure/Figure.java:125", "Field Read", " context=se.hig.oodp.lab.utility.DebugLogger, log"
"main", "181", "se/hig/oodp/lab/model/figure/Figure.java:125", "Method Call", " caller=se.hig.oodp.lab.model.figure.Figure:1#addVerticesToList:1, target=se.hig.oodp.lab.model.Vertex2D:2#toString:2"
"main", "182", "se/hig/oodp/lab/model/Vertex2D.java:149", "Method Entered", " "
"main", "183", "se/hig/oodp/lab/model/Vertex2D.java:151", "Line Step", " file=se/hig/oodp/lab/model/Vertex2D.java, line=151"
"main", "184", "se/hig/oodp/lab/model/Vertex2D.java:151", "Field Read", " context=se.hig.oodp.lab.model.Vertex2D:2, x"
